Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family_Size,is_alone,Age_x_Pclass,FarePerPerson,AgeGroup
0,3,1,22.0,1,0,7.25,0.0,2,0,66.0,3.625,2
1,1,0,38.0,1,0,71.2833,1.0,2,0,38.0,35.64165,3
1,3,0,26.0,0,0,7.925,0.0,1,1,78.0,7.925,2
1,1,0,35.0,1,0,53.1,0.0,2,0,35.0,26.55,2
0,3,1,35.0,0,0,8.05,0.0,1,1,105.0,8.05,2
0,3,1,28.0,0,0,8.4583,2.0,1,1,84.0,8.4583,2
0,1,1,54.0,0,0,51.8625,0.0,1,1,54.0,51.8625,3
0,3,1,2.0,3,1,21.075,0.0,5,0,6.0,4.215,0
1,3,0,27.0,0,2,11.1333,0.0,3,0,81.0,3.7111,2
1,2,0,14.0,1,0,30.0708,1.0,2,0,28.0,15.0354,1
1,3,0,4.0,1,1,16.7,0.0,3,0,12.0,5.566666666666666,0
1,1,0,58.0,0,0,26.55,0.0,1,1,58.0,26.55,3
0,3,1,20.0,0,0,8.05,0.0,1,1,60.0,8.05,2
0,3,1,39.0,1,5,31.275,0.0,7,0,117.0,4.4678571428571425,3
0,3,0,14.0,0,0,7.8542,0.0,1,1,42.0,7.8542,1
1,2,0,55.0,0,0,16.0,0.0,1,1,110.0,16.0,3
0,3,1,2.0,4,1,29.125,2.0,6,0,6.0,4.854166666666667,0
1,2,1,28.0,0,0,13.0,0.0,1,1,56.0,13.0,2
0,3,0,31.0,1,0,18.0,0.0,2,0,93.0,9.0,2
1,3,0,28.0,0,0,7.225,1.0,1,1,84.0,7.225,2
0,2,1,35.0,0,0,26.0,0.0,1,1,70.0,26.0,2
1,2,1,34.0,0,0,13.0,0.0,1,1,68.0,13.0,2
1,3,0,15.0,0,0,8.0292,2.0,1,1,45.0,8.0292,1
1,1,1,28.0,0,0,35.5,0.0,1,1,28.0,35.5,2
0,3,0,8.0,3,1,21.075,0.0,5,0,24.0,4.215,0
1,3,0,38.0,1,5,31.3875,0.0,7,0,114.0,4.483928571428572,3
0,3,1,28.0,0,0,7.225,1.0,1,1,84.0,7.225,2
0,1,1,19.0,3,2,263.0,0.0,6,0,19.0,43.833333333333336,2
1,3,0,28.0,0,0,7.8792,2.0,1,1,84.0,7.8792,2
0,3,1,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
0,1,1,40.0,0,0,27.7208,1.0,1,1,40.0,27.7208,3
1,1,0,28.0,1,0,146.5208,1.0,2,0,28.0,73.2604,2
1,3,0,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
0,2,1,66.0,0,0,10.5,0.0,1,1,132.0,10.5,4
0,1,1,28.0,1,0,82.1708,1.0,2,0,28.0,41.0854,2
0,1,1,42.0,1,0,52.0,0.0,2,0,42.0,26.0,3
1,3,1,28.0,0,0,7.2292,1.0,1,1,84.0,7.2292,2
0,3,1,21.0,0,0,8.05,0.0,1,1,63.0,8.05,2
0,3,0,18.0,2,0,18.0,0.0,3,0,54.0,6.0,1
1,3,0,14.0,1,0,11.2417,1.0,2,0,42.0,5.62085,1
0,3,0,40.0,1,0,9.475,0.0,2,0,120.0,4.7375,3
0,2,0,27.0,1,0,21.0,0.0,2,0,54.0,10.5,2
0,3,1,28.0,0,0,7.8958,1.0,1,1,84.0,7.8958,2
1,2,0,3.0,1,2,41.5792,1.0,4,0,6.0,10.3948,0
1,3,0,19.0,0,0,7.8792,2.0,1,1,57.0,7.8792,2
0,3,1,28.0,0,0,8.05,0.0,1,1,84.0,8.05,2
0,3,1,28.0,1,0,15.5,2.0,2,0,84.0,7.75,2
1,3,0,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
0,3,1,28.0,2,0,21.6792,1.0,3,0,84.0,7.226400000000001,2
0,3,0,18.0,1,0,17.8,0.0,2,0,54.0,8.9,1
0,3,1,7.0,4,1,39.6875,0.0,6,0,21.0,6.614583333333333,0
0,3,1,21.0,0,0,7.8,0.0,1,1,63.0,7.8,2
1,1,0,49.0,1,0,76.7292,1.0,2,0,49.0,38.3646,3
1,2,0,29.0,1,0,26.0,0.0,2,0,58.0,13.0,2
0,1,1,65.0,0,1,61.9792,1.0,2,0,65.0,30.9896,4
1,1,1,28.0,0,0,35.5,0.0,1,1,28.0,35.5,2
1,2,0,21.0,0,0,10.5,0.0,1,1,42.0,10.5,2
0,3,1,28.5,0,0,7.2292,1.0,1,1,85.5,7.2292,2
1,2,0,5.0,1,2,27.75,0.0,4,0,10.0,6.9375,0
0,3,1,11.0,5,2,46.9,0.0,8,0,33.0,5.8625,0
0,3,1,22.0,0,0,7.2292,1.0,1,1,66.0,7.2292,2
1,1,0,38.0,0,0,80.0,,1,1,38.0,80.0,3
0,1,1,45.0,1,0,83.475,0.0,2,0,45.0,41.7375,3
0,3,1,4.0,3,2,27.9,0.0,6,0,12.0,4.6499999999999995,0
0,1,1,28.0,0,0,27.7208,1.0,1,1,28.0,27.7208,2
1,3,1,28.0,1,1,15.2458,1.0,3,0,84.0,5.081933333333333,2
1,2,0,29.0,0,0,10.5,0.0,1,1,58.0,10.5,2
0,3,1,19.0,0,0,8.1583,0.0,1,1,57.0,8.1583,2
1,3,0,17.0,4,2,7.925,0.0,7,0,51.0,1.1321428571428571,1
0,3,1,26.0,2,0,8.6625,0.0,3,0,78.0,2.8874999999999997,2
0,2,1,32.0,0,0,10.5,0.0,1,1,64.0,10.5,2
0,3,0,16.0,5,2,46.9,0.0,8,0,48.0,5.8625,1
0,2,1,21.0,0,0,73.5,0.0,1,1,42.0,73.5,2
0,3,1,26.0,1,0,14.4542,1.0,2,0,78.0,7.2271,2
1,3,1,32.0,0,0,56.4958,0.0,1,1,96.0,56.4958,2
0,3,1,25.0,0,0,7.65,0.0,1,1,75.0,7.65,2
0,3,1,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
0,3,1,28.0,0,0,8.05,0.0,1,1,84.0,8.05,2
1,2,1,0.83,0,2,29.0,0.0,3,0,1.66,9.666666666666666,0
1,3,0,30.0,0,0,12.475,0.0,1,1,90.0,12.475,2
0,3,1,22.0,0,0,9.0,0.0,1,1,66.0,9.0,2
1,3,1,29.0,0,0,9.5,0.0,1,1,87.0,9.5,2
1,3,0,28.0,0,0,7.7875,2.0,1,1,84.0,7.7875,2
0,1,1,28.0,0,0,47.1,0.0,1,1,28.0,47.1,2
1,2,0,17.0,0,0,10.5,0.0,1,1,34.0,10.5,1
1,3,0,33.0,3,0,15.85,0.0,4,0,99.0,3.9625,2
0,3,1,16.0,1,3,34.375,0.0,5,0,48.0,6.875,1
0,3,1,28.0,0,0,8.05,0.0,1,1,84.0,8.05,2
1,1,0,23.0,3,2,263.0,0.0,6,0,23.0,43.833333333333336,2
0,3,1,24.0,0,0,8.05,0.0,1,1,72.0,8.05,2
0,3,1,29.0,0,0,8.05,0.0,1,1,87.0,8.05,2
0,3,1,20.0,0,0,7.8542,0.0,1,1,60.0,7.8542,2
0,1,1,46.0,1,0,61.175,0.0,2,0,46.0,30.5875,3
0,3,1,26.0,1,2,20.575,0.0,4,0,78.0,5.14375,2
0,3,1,59.0,0,0,7.25,0.0,1,1,177.0,7.25,3
0,3,1,28.0,0,0,8.05,0.0,1,1,84.0,8.05,2
0,1,1,71.0,0,0,34.6542,1.0,1,1,71.0,34.6542,4
1,1,1,23.0,0,1,63.3583,1.0,2,0,23.0,31.67915,2
1,2,0,34.0,0,1,23.0,0.0,2,0,68.0,11.5,2
0,2,1,34.0,1,0,26.0,0.0,2,0,68.0,13.0,2
0,3,0,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
0,3,1,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
0,1,1,21.0,0,1,77.2875,0.0,2,0,21.0,38.64375,2
0,3,1,33.0,0,0,8.6542,0.0,1,1,99.0,8.6542,2
0,3,1,37.0,2,0,7.925,0.0,3,0,111.0,2.6416666666666666,3
0,3,1,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
1,3,0,21.0,0,0,7.65,0.0,1,1,63.0,7.65,2
1,3,1,28.0,0,0,7.775,0.0,1,1,84.0,7.775,2
0,3,1,38.0,0,0,7.8958,0.0,1,1,114.0,7.8958,3
1,3,0,28.0,1,0,24.15,2.0,2,0,84.0,12.075,2
0,1,1,47.0,0,0,52.0,0.0,1,1,47.0,52.0,3
0,3,0,14.5,1,0,14.4542,1.0,2,0,43.5,7.2271,1
0,3,1,22.0,0,0,8.05,0.0,1,1,66.0,8.05,2
0,3,0,20.0,1,0,9.825,0.0,2,0,60.0,4.9125,2
0,3,0,17.0,0,0,14.4583,1.0,1,1,51.0,14.4583,1
0,3,1,21.0,0,0,7.925,0.0,1,1,63.0,7.925,2
0,3,1,70.5,0,0,7.75,2.0,1,1,211.5,7.75,4
0,2,1,29.0,1,0,21.0,0.0,2,0,58.0,10.5,2
0,1,1,24.0,0,1,247.5208,1.0,2,0,24.0,123.7604,2
0,3,0,2.0,4,2,31.275,0.0,7,0,6.0,4.4678571428571425,0
0,2,1,21.0,2,0,73.5,0.0,3,0,42.0,24.5,2
0,3,1,28.0,0,0,8.05,0.0,1,1,84.0,8.05,2
0,2,1,32.5,1,0,30.0708,1.0,2,0,65.0,15.0354,2
1,2,0,32.5,0,0,13.0,0.0,1,1,65.0,13.0,2
0,1,1,54.0,0,1,77.2875,0.0,2,0,54.0,38.64375,3
1,3,1,12.0,1,0,11.2417,1.0,2,0,36.0,5.62085,0
0,3,1,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
1,3,1,24.0,0,0,7.1417,0.0,1,1,72.0,7.1417,2
1,3,0,28.0,1,1,22.3583,1.0,3,0,84.0,7.452766666666666,2
0,3,1,45.0,0,0,6.975,0.0,1,1,135.0,6.975,3
0,3,1,33.0,0,0,7.8958,1.0,1,1,99.0,7.8958,2
0,3,1,20.0,0,0,7.05,0.0,1,1,60.0,7.05,2
0,3,0,47.0,1,0,14.5,0.0,2,0,141.0,7.25,3
1,2,0,29.0,1,0,26.0,0.0,2,0,58.0,13.0,2
0,2,1,25.0,0,0,13.0,0.0,1,1,50.0,13.0,2
0,2,1,23.0,0,0,15.0458,1.0,1,1,46.0,15.0458,2
1,1,0,19.0,0,2,26.2833,0.0,3,0,19.0,8.7611,2
0,1,1,37.0,1,0,53.1,0.0,2,0,37.0,26.55,3
0,3,1,16.0,0,0,9.2167,0.0,1,1,48.0,9.2167,1
0,1,1,24.0,0,0,79.2,1.0,1,1,24.0,79.2,2
0,3,0,28.0,0,2,15.2458,1.0,3,0,84.0,5.081933333333333,2
1,3,0,22.0,0,0,7.75,0.0,1,1,66.0,7.75,2
1,3,0,24.0,1,0,15.85,0.0,2,0,72.0,7.925,2
0,3,1,19.0,0,0,6.75,2.0,1,1,57.0,6.75,2
0,2,1,18.0,0,0,11.5,0.0,1,1,36.0,11.5,1
0,2,1,19.0,1,1,36.75,0.0,3,0,38.0,12.25,2
1,3,1,27.0,0,0,7.7958,0.0,1,1,81.0,7.7958,2
0,3,0,9.0,2,2,34.375,0.0,5,0,27.0,6.875,0
0,2,1,36.5,0,2,26.0,0.0,3,0,73.0,8.666666666666666,3
0,2,1,42.0,0,0,13.0,0.0,1,1,84.0,13.0,3
0,2,1,51.0,0,0,12.525,0.0,1,1,102.0,12.525,3
1,1,0,22.0,1,0,66.6,0.0,2,0,22.0,33.3,2
0,3,1,55.5,0,0,8.05,0.0,1,1,166.5,8.05,3
0,3,1,40.5,0,2,14.5,0.0,3,0,121.5,4.833333333333333,3
0,3,1,28.0,0,0,7.3125,0.0,1,1,84.0,7.3125,2
0,1,1,51.0,0,1,61.3792,1.0,2,0,51.0,30.6896,3
1,3,0,16.0,0,0,7.7333,2.0,1,1,48.0,7.7333,1
0,3,1,30.0,0,0,8.05,0.0,1,1,90.0,8.05,2
0,3,1,28.0,0,0,8.6625,0.0,1,1,84.0,8.6625,2
0,3,1,28.0,8,2,69.55,0.0,11,0,84.0,6.322727272727272,2
0,3,1,44.0,0,1,16.1,0.0,2,0,132.0,8.05,3
1,2,0,40.0,0,0,15.75,0.0,1,1,80.0,15.75,3
0,3,1,26.0,0,0,7.775,0.0,1,1,78.0,7.775,2
0,3,1,17.0,0,0,8.6625,0.0,1,1,51.0,8.6625,1
0,3,1,1.0,4,1,39.6875,0.0,6,0,3.0,6.614583333333333,0
1,3,1,9.0,0,2,20.525,0.0,3,0,27.0,6.841666666666666,0
1,1,0,28.0,0,1,55.0,0.0,2,0,28.0,27.5,2
0,3,0,45.0,1,4,27.9,0.0,6,0,135.0,4.6499999999999995,3
0,1,1,28.0,0,0,25.925,0.0,1,1,28.0,25.925,2
0,3,1,28.0,0,0,56.4958,0.0,1,1,84.0,56.4958,2
0,1,1,61.0,0,0,33.5,0.0,1,1,61.0,33.5,4
0,3,1,4.0,4,1,29.125,2.0,6,0,12.0,4.854166666666667,0
1,3,0,1.0,1,1,11.1333,0.0,3,0,3.0,3.7111,0
0,3,1,21.0,0,0,7.925,0.0,1,1,63.0,7.925,2
0,1,1,56.0,0,0,30.6958,1.0,1,1,56.0,30.6958,3
0,3,1,18.0,1,1,7.8542,0.0,3,0,54.0,2.6180666666666665,1
0,3,1,28.0,3,1,25.4667,0.0,5,0,84.0,5.0933399999999995,2
0,1,0,50.0,0,0,28.7125,1.0,1,1,50.0,28.7125,3
0,2,1,30.0,0,0,13.0,0.0,1,1,60.0,13.0,2
0,3,1,36.0,0,0,0.0,0.0,1,1,108.0,0.0,3
0,3,0,28.0,8,2,69.55,0.0,11,0,84.0,6.322727272727272,2
0,2,1,28.0,0,0,15.05,1.0,1,1,56.0,15.05,2
0,3,1,9.0,4,2,31.3875,0.0,7,0,27.0,4.483928571428572,0
1,2,1,1.0,2,1,39.0,0.0,4,0,2.0,9.75,0
1,3,0,4.0,0,2,22.025,0.0,3,0,12.0,7.341666666666666,0
0,1,1,28.0,0,0,50.0,0.0,1,1,28.0,50.0,2
1,3,0,28.0,1,0,15.5,2.0,2,0,84.0,7.75,2
1,1,1,45.0,0,0,26.55,0.0,1,1,45.0,26.55,3
0,3,1,40.0,1,1,15.5,2.0,3,0,120.0,5.166666666666667,3
0,3,1,36.0,0,0,7.8958,0.0,1,1,108.0,7.8958,3
1,2,0,32.0,0,0,13.0,0.0,1,1,64.0,13.0,2
0,2,1,19.0,0,0,13.0,0.0,1,1,38.0,13.0,2
1,3,0,19.0,1,0,7.8542,0.0,2,0,57.0,3.9271,2
1,2,1,3.0,1,1,26.0,0.0,3,0,6.0,8.666666666666666,0
1,1,0,44.0,0,0,27.7208,1.0,1,1,44.0,27.7208,3
1,1,0,58.0,0,0,146.5208,1.0,1,1,58.0,146.5208,3
0,3,1,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
0,3,1,42.0,0,1,8.4042,0.0,2,0,126.0,4.2021,3
1,3,0,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
0,2,0,24.0,0,0,13.0,0.0,1,1,48.0,13.0,2
0,3,1,28.0,0,0,9.5,0.0,1,1,84.0,9.5,2
0,3,1,28.0,8,2,69.55,0.0,11,0,84.0,6.322727272727272,2
0,3,1,34.0,0,0,6.4958,0.0,1,1,102.0,6.4958,2
0,3,1,45.5,0,0,7.225,1.0,1,1,136.5,7.225,3
1,3,1,18.0,0,0,8.05,0.0,1,1,54.0,8.05,1
0,3,0,2.0,0,1,10.4625,0.0,2,0,6.0,5.23125,0
0,3,1,32.0,1,0,15.85,0.0,2,0,96.0,7.925,2
1,3,1,26.0,0,0,18.7875,1.0,1,1,78.0,18.7875,2
1,3,0,16.0,0,0,7.75,2.0,1,1,48.0,7.75,1
1,1,1,40.0,0,0,31.0,1.0,1,1,40.0,31.0,3
0,3,1,24.0,0,0,7.05,0.0,1,1,72.0,7.05,2
1,2,0,35.0,0,0,21.0,0.0,1,1,70.0,21.0,2
0,3,1,22.0,0,0,7.25,0.0,1,1,66.0,7.25,2
0,2,1,30.0,0,0,13.0,0.0,1,1,60.0,13.0,2
0,3,1,28.0,1,0,7.75,2.0,2,0,84.0,3.875,2
1,1,0,31.0,1,0,113.275,1.0,2,0,31.0,56.6375,2
1,3,0,27.0,0,0,7.925,0.0,1,1,81.0,7.925,2
0,2,1,42.0,1,0,27.0,0.0,2,0,84.0,13.5,3
1,1,0,32.0,0,0,76.2917,1.0,1,1,32.0,76.2917,2
0,2,1,30.0,0,0,10.5,0.0,1,1,60.0,10.5,2
1,3,1,16.0,0,0,8.05,0.0,1,1,48.0,8.05,1
0,2,1,27.0,0,0,13.0,0.0,1,1,54.0,13.0,2
0,3,1,51.0,0,0,8.05,0.0,1,1,153.0,8.05,3
0,3,1,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
1,1,1,38.0,1,0,90.0,0.0,2,0,38.0,45.0,3
0,3,1,22.0,0,0,9.35,0.0,1,1,66.0,9.35,2
1,2,1,19.0,0,0,10.5,0.0,1,1,38.0,10.5,2
0,3,1,20.5,0,0,7.25,0.0,1,1,61.5,7.25,2
0,2,1,18.0,0,0,13.0,0.0,1,1,36.0,13.0,1
0,3,0,28.0,3,1,25.4667,0.0,5,0,84.0,5.0933399999999995,2
1,1,0,35.0,1,0,83.475,0.0,2,0,35.0,41.7375,2
0,3,1,29.0,0,0,7.775,0.0,1,1,87.0,7.775,2
0,2,1,59.0,0,0,13.5,0.0,1,1,118.0,13.5,3
1,3,0,5.0,4,2,31.3875,0.0,7,0,15.0,4.483928571428572,0
0,2,1,24.0,0,0,10.5,0.0,1,1,48.0,10.5,2
0,3,0,28.0,0,0,7.55,0.0,1,1,84.0,7.55,2
0,2,1,44.0,1,0,26.0,0.0,2,0,88.0,13.0,3
1,2,0,8.0,0,2,26.25,0.0,3,0,16.0,8.75,0
0,2,1,19.0,0,0,10.5,0.0,1,1,38.0,10.5,2
0,2,1,33.0,0,0,12.275,0.0,1,1,66.0,12.275,2
0,3,0,28.0,1,0,14.4542,1.0,2,0,84.0,7.2271,2
1,3,0,28.0,1,0,15.5,2.0,2,0,84.0,7.75,2
0,2,1,29.0,0,0,10.5,0.0,1,1,58.0,10.5,2
0,3,1,22.0,0,0,7.125,0.0,1,1,66.0,7.125,2
0,3,1,30.0,0,0,7.225,1.0,1,1,90.0,7.225,2
0,1,1,44.0,2,0,90.0,2.0,3,0,44.0,30.0,3
0,3,0,25.0,0,0,7.775,0.0,1,1,75.0,7.775,2
1,2,0,24.0,0,2,14.5,0.0,3,0,48.0,4.833333333333333,2
1,1,1,37.0,1,1,52.5542,0.0,3,0,37.0,17.518066666666666,3
0,2,1,54.0,1,0,26.0,0.0,2,0,108.0,13.0,3
0,3,1,28.0,0,0,7.25,0.0,1,1,84.0,7.25,2
0,3,0,29.0,1,1,10.4625,0.0,3,0,87.0,3.4875000000000003,2
0,1,1,62.0,0,0,26.55,0.0,1,1,62.0,26.55,4
0,3,1,30.0,1,0,16.1,0.0,2,0,90.0,8.05,2
0,3,0,41.0,0,2,20.2125,0.0,3,0,123.0,6.7375,3
1,3,0,29.0,0,2,15.2458,1.0,3,0,87.0,5.081933333333333,2
1,1,0,28.0,0,0,79.2,1.0,1,1,28.0,79.2,2
1,1,0,30.0,0,0,86.5,0.0,1,1,30.0,86.5,2
1,1,0,35.0,0,0,512.3292,1.0,1,1,35.0,512.3292,2
1,2,0,50.0,0,1,26.0,0.0,2,0,100.0,13.0,3
0,3,1,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
1,3,1,3.0,4,2,31.3875,0.0,7,0,9.0,4.483928571428572,0
0,1,1,52.0,1,1,79.65,0.0,3,0,52.0,26.55,3
0,1,1,40.0,0,0,0.0,0.0,1,1,40.0,0.0,3
0,3,0,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
0,2,1,36.0,0,0,10.5,0.0,1,1,72.0,10.5,3
0,3,1,16.0,4,1,39.6875,0.0,6,0,48.0,6.614583333333333,1
1,3,1,25.0,1,0,7.775,0.0,2,0,75.0,3.8875,2
1,1,0,58.0,0,1,153.4625,0.0,2,0,58.0,76.73125,3
1,1,0,35.0,0,0,135.6333,0.0,1,1,35.0,135.6333,2
0,1,1,28.0,0,0,31.0,0.0,1,1,28.0,31.0,2
1,3,1,25.0,0,0,0.0,0.0,1,1,75.0,0.0,2
1,2,0,41.0,0,1,19.5,0.0,2,0,82.0,9.75,3
0,1,1,37.0,0,1,29.7,1.0,2,0,37.0,14.85,3
1,3,0,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
1,1,0,63.0,1,0,77.9583,0.0,2,0,63.0,38.97915,4
0,3,0,45.0,0,0,7.75,0.0,1,1,135.0,7.75,3
0,2,1,28.0,0,0,0.0,0.0,1,1,56.0,0.0,2
0,3,1,7.0,4,1,29.125,2.0,6,0,21.0,4.854166666666667,0
1,3,0,35.0,1,1,20.25,0.0,3,0,105.0,6.75,2
0,3,1,65.0,0,0,7.75,2.0,1,1,195.0,7.75,4
0,3,1,28.0,0,0,7.8542,0.0,1,1,84.0,7.8542,2
0,3,1,16.0,0,0,9.5,0.0,1,1,48.0,9.5,1
1,3,1,19.0,0,0,8.05,0.0,1,1,57.0,8.05,2
0,1,1,28.0,0,0,26.0,0.0,1,1,28.0,26.0,2
0,3,1,33.0,0,0,8.6625,1.0,1,1,99.0,8.6625,2
1,3,1,30.0,0,0,9.5,0.0,1,1,90.0,9.5,2
0,3,1,22.0,0,0,7.8958,0.0,1,1,66.0,7.8958,2
1,2,1,42.0,0,0,13.0,0.0,1,1,84.0,13.0,3
1,3,0,22.0,0,0,7.75,2.0,1,1,66.0,7.75,2
1,1,0,26.0,0,0,78.85,0.0,1,1,26.0,78.85,2
1,1,0,19.0,1,0,91.0792,1.0,2,0,19.0,45.5396,2
0,2,1,36.0,0,0,12.875,1.0,1,1,72.0,12.875,3
