Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Family_Size,is_alone,Age_x_Pclass,FarePerPerson,AgeGroup
0,3,1,47.0,0,0,7.25,0.0,1,1,141.0,7.25,3
0,3,0,28.0,0,2,7.75,2.0,3,0,84.0,2.5833333333333335,2
0,2,1,37.0,1,0,26.0,0.0,2,0,74.0,13.0,3
0,3,1,36.0,1,1,24.15,0.0,3,0,108.0,8.049999999999999,3
1,2,0,28.0,0,0,33.0,0.0,1,1,56.0,33.0,2
0,3,1,49.0,0,0,0.0,0.0,1,1,147.0,0.0,3
0,3,1,28.0,0,0,7.225,1.0,1,1,84.0,7.225,2
1,1,1,49.0,1,0,56.9292,1.0,2,0,49.0,28.4646,3
1,2,0,24.0,2,1,27.0,0.0,4,0,48.0,6.75,2
0,3,1,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
0,1,1,28.0,0,0,42.4,0.0,1,1,28.0,42.4,2
0,3,1,44.0,0,0,8.05,0.0,1,1,132.0,8.05,3
1,1,1,35.0,0,0,26.55,1.0,1,1,35.0,26.55,2
0,3,1,36.0,1,0,15.55,0.0,2,0,108.0,7.775,3
0,3,1,30.0,0,0,7.8958,0.0,1,1,90.0,7.8958,2
1,1,1,27.0,0,0,30.5,0.0,1,1,27.0,30.5,2
1,2,0,22.0,1,2,41.5792,1.0,4,0,44.0,10.3948,2
1,1,0,40.0,0,0,153.4625,0.0,1,1,40.0,153.4625,3
0,3,0,39.0,1,5,31.275,0.0,7,0,117.0,4.4678571428571425,3
0,3,1,28.0,0,0,7.05,0.0,1,1,84.0,7.05,2
1,3,0,28.0,1,0,15.5,2.0,2,0,84.0,7.75,2
0,3,1,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
0,3,1,35.0,0,0,8.05,0.0,1,1,105.0,8.05,2
1,2,0,24.0,1,2,65.0,0.0,4,0,48.0,16.25,2
0,3,1,34.0,1,1,14.4,0.0,3,0,102.0,4.8,2
0,3,0,26.0,1,0,16.1,0.0,2,0,78.0,8.05,2
1,2,0,4.0,2,1,39.0,0.0,4,0,8.0,9.75,0
0,2,1,26.0,0,0,10.5,0.0,1,1,52.0,10.5,2
0,3,1,27.0,1,0,14.4542,1.0,2,0,81.0,7.2271,2
1,1,1,42.0,1,0,52.5542,0.0,2,0,42.0,26.2771,3
1,3,1,20.0,1,1,15.7417,1.0,3,0,60.0,5.247233333333333,2
0,3,1,21.0,0,0,7.8542,0.0,1,1,63.0,7.8542,2
0,3,1,21.0,0,0,16.1,0.0,1,1,63.0,16.1,2
0,1,1,61.0,0,0,32.3208,0.0,1,1,61.0,32.3208,4
0,2,1,57.0,0,0,12.35,2.0,1,1,114.0,12.35,3
1,1,0,21.0,0,0,77.9583,0.0,1,1,21.0,77.9583,2
0,3,1,26.0,0,0,7.8958,0.0,1,1,78.0,7.8958,2
0,3,1,28.0,0,0,7.7333,2.0,1,1,84.0,7.7333,2
1,1,1,80.0,0,0,30.0,0.0,1,1,80.0,30.0,4
0,3,1,51.0,0,0,7.0542,0.0,1,1,153.0,7.0542,3
1,1,1,32.0,0,0,30.5,1.0,1,1,32.0,30.5,2
0,1,1,28.0,0,0,0.0,0.0,1,1,28.0,0.0,2
0,3,0,9.0,3,2,27.9,0.0,6,0,27.0,4.6499999999999995,0
1,2,0,28.0,0,0,13.0,0.0,1,1,56.0,13.0,2
0,3,1,32.0,0,0,7.925,0.0,1,1,96.0,7.925,2
0,2,1,31.0,1,1,26.25,0.0,3,0,62.0,8.75,2
0,3,0,41.0,0,5,39.6875,0.0,6,0,123.0,6.614583333333333,3
0,3,1,28.0,1,0,16.1,0.0,2,0,84.0,8.05,2
0,3,1,20.0,0,0,7.8542,0.0,1,1,60.0,7.8542,2
1,1,0,24.0,0,0,69.3,1.0,1,1,24.0,69.3,2
0,3,0,2.0,3,2,27.9,0.0,6,0,6.0,4.6499999999999995,0
1,3,1,28.0,0,0,56.4958,0.0,1,1,84.0,56.4958,2
1,3,0,0.75,2,1,19.2583,1.0,4,0,2.25,4.814575,0
1,1,1,48.0,1,0,76.7292,1.0,2,0,48.0,38.3646,3
0,3,1,19.0,0,0,7.8958,0.0,1,1,57.0,7.8958,2
1,1,1,56.0,0,0,35.5,1.0,1,1,56.0,35.5,3
0,3,1,28.0,0,0,7.55,0.0,1,1,84.0,7.55,2
1,3,0,23.0,0,0,7.55,0.0,1,1,69.0,7.55,2
0,3,1,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
1,2,0,18.0,0,1,23.0,0.0,2,0,36.0,11.5,1
0,3,1,21.0,0,0,8.4333,0.0,1,1,63.0,8.4333,2
1,3,0,28.0,0,0,7.8292,2.0,1,1,84.0,7.8292,2
0,3,0,18.0,0,0,6.75,2.0,1,1,54.0,6.75,1
0,2,1,24.0,2,0,73.5,0.0,3,0,48.0,24.5,2
0,3,1,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
0,3,0,32.0,1,1,15.5,2.0,3,0,96.0,5.166666666666667,2
0,2,1,23.0,0,0,13.0,0.0,1,1,46.0,13.0,2
0,1,1,58.0,0,2,113.275,1.0,3,0,58.0,37.75833333333333,3
1,1,1,50.0,2,0,133.65,0.0,3,0,50.0,44.550000000000004,3
0,3,1,40.0,0,0,7.225,1.0,1,1,120.0,7.225,3
0,1,1,47.0,0,0,25.5875,0.0,1,1,47.0,25.5875,3
0,3,1,36.0,0,0,7.4958,0.0,1,1,108.0,7.4958,3
1,3,1,20.0,1,0,7.925,0.0,2,0,60.0,3.9625,2
0,2,1,32.0,2,0,73.5,0.0,3,0,64.0,24.5,2
0,2,1,25.0,0,0,13.0,0.0,1,1,50.0,13.0,2
0,3,1,28.0,0,0,7.775,0.0,1,1,84.0,7.775,2
0,3,1,43.0,0,0,8.05,0.0,1,1,129.0,8.05,3
1,1,0,28.0,1,0,52.0,0.0,2,0,28.0,26.0,2
1,2,0,40.0,1,1,39.0,0.0,3,0,80.0,13.0,3
0,1,1,31.0,1,0,52.0,0.0,2,0,31.0,26.0,2
0,2,1,70.0,0,0,10.5,0.0,1,1,140.0,10.5,4
1,2,1,31.0,0,0,13.0,0.0,1,1,62.0,13.0,2
0,2,1,28.0,0,0,0.0,0.0,1,1,56.0,0.0,2
0,3,1,18.0,0,0,7.775,0.0,1,1,54.0,7.775,1
0,3,1,24.5,0,0,8.05,0.0,1,1,73.5,8.05,2
1,3,0,18.0,0,0,9.8417,0.0,1,1,54.0,9.8417,1
0,3,0,43.0,1,6,46.9,0.0,8,0,129.0,5.8625,3
1,1,1,36.0,0,1,512.3292,1.0,2,0,36.0,256.1646,3
0,3,0,28.0,0,0,8.1375,2.0,1,1,84.0,8.1375,2
1,1,1,27.0,0,0,76.7292,1.0,1,1,27.0,76.7292,2
0,3,1,20.0,0,0,9.225,0.0,1,1,60.0,9.225,2
0,3,1,14.0,5,2,46.9,0.0,8,0,42.0,5.8625,1
0,2,1,60.0,1,1,39.0,0.0,3,0,120.0,13.0,3
0,2,1,25.0,1,2,41.5792,1.0,4,0,50.0,10.3948,2
0,3,1,14.0,4,1,39.6875,0.0,6,0,42.0,6.614583333333333,1
0,3,1,19.0,0,0,10.1708,0.0,1,1,57.0,10.1708,2
0,3,1,18.0,0,0,7.7958,0.0,1,1,54.0,7.7958,1
1,1,0,15.0,0,1,211.3375,0.0,2,0,15.0,105.66875,1
1,1,1,31.0,1,0,57.0,0.0,2,0,31.0,28.5,2
1,3,0,4.0,0,1,13.4167,1.0,2,0,12.0,6.70835,0
1,3,1,28.0,0,0,56.4958,0.0,1,1,84.0,56.4958,2
0,3,1,25.0,0,0,7.225,1.0,1,1,75.0,7.225,2
0,1,1,60.0,0,0,26.55,0.0,1,1,60.0,26.55,3
0,2,1,52.0,0,0,13.5,0.0,1,1,104.0,13.5,3
0,3,1,44.0,0,0,8.05,0.0,1,1,132.0,8.05,3
1,3,0,28.0,0,0,7.7333,2.0,1,1,84.0,7.7333,2
0,1,1,49.0,1,1,110.8833,1.0,3,0,49.0,36.9611,3
0,3,1,42.0,0,0,7.65,0.0,1,1,126.0,7.65,3
1,1,0,18.0,1,0,227.525,1.0,2,0,18.0,113.7625,1
1,1,1,35.0,0,0,26.2875,0.0,1,1,35.0,26.2875,2
0,3,0,18.0,0,1,14.4542,1.0,2,0,54.0,7.2271,1
0,3,1,25.0,0,0,7.7417,2.0,1,1,75.0,7.7417,2
0,3,1,26.0,1,0,7.8542,0.0,2,0,78.0,3.9271,2
0,2,1,39.0,0,0,26.0,0.0,1,1,78.0,26.0,3
1,2,0,45.0,0,0,13.5,0.0,1,1,90.0,13.5,3
1,1,1,42.0,0,0,26.2875,0.0,1,1,42.0,26.2875,3
1,1,0,22.0,0,0,151.55,0.0,1,1,22.0,151.55,2
1,3,1,28.0,1,1,15.2458,1.0,3,0,84.0,5.081933333333333,2
1,1,0,24.0,0,0,49.5042,1.0,1,1,24.0,49.5042,2
0,1,1,28.0,0,0,26.55,0.0,1,1,28.0,26.55,2
1,1,1,48.0,1,0,52.0,0.0,2,0,48.0,26.0,3
0,3,1,29.0,0,0,9.4833,0.0,1,1,87.0,9.4833,2
0,2,1,52.0,0,0,13.0,0.0,1,1,104.0,13.0,3
0,3,1,19.0,0,0,7.65,0.0,1,1,57.0,7.65,2
1,1,0,38.0,0,0,227.525,1.0,1,1,38.0,227.525,3
1,2,0,27.0,0,0,10.5,0.0,1,1,54.0,10.5,2
0,3,1,28.0,0,0,15.5,2.0,1,1,84.0,15.5,2
0,3,1,33.0,0,0,7.775,0.0,1,1,99.0,7.775,2
1,2,0,6.0,0,1,33.0,0.0,2,0,12.0,16.5,0
0,3,1,17.0,1,0,7.0542,0.0,2,0,51.0,3.5271,1
0,2,1,34.0,0,0,13.0,0.0,1,1,68.0,13.0,2
0,2,1,50.0,0,0,13.0,0.0,1,1,100.0,13.0,3
1,1,1,27.0,1,0,53.1,0.0,2,0,27.0,26.55,2
0,3,1,20.0,0,0,8.6625,0.0,1,1,60.0,8.6625,2
1,2,0,30.0,3,0,21.0,0.0,4,0,60.0,5.25,2
1,3,0,28.0,0,0,7.7375,2.0,1,1,84.0,7.7375,2
0,2,1,25.0,1,0,26.0,0.0,2,0,50.0,13.0,2
0,3,0,25.0,1,0,7.925,0.0,2,0,75.0,3.9625,2
1,1,0,29.0,0,0,211.3375,0.0,1,1,29.0,211.3375,2
0,3,1,11.0,0,0,18.7875,1.0,1,1,33.0,18.7875,0
0,2,1,28.0,0,0,0.0,0.0,1,1,56.0,0.0,2
0,2,1,23.0,0,0,13.0,0.0,1,1,46.0,13.0,2
0,2,1,23.0,0,0,13.0,0.0,1,1,46.0,13.0,2
0,3,1,28.5,0,0,16.1,0.0,1,1,85.5,16.1,2
0,3,0,48.0,1,3,34.375,0.0,5,0,144.0,6.875,3
1,1,1,35.0,0,0,512.3292,1.0,1,1,35.0,512.3292,2
0,3,1,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
0,3,1,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
1,1,1,28.0,0,0,30.0,0.0,1,1,28.0,30.0,2
0,1,1,36.0,1,0,78.85,0.0,2,0,36.0,39.425,3
1,1,0,21.0,2,2,262.375,1.0,5,0,21.0,52.475,2
0,3,1,24.0,1,0,16.1,0.0,2,0,72.0,8.05,2
1,3,1,31.0,0,0,7.925,0.0,1,1,93.0,7.925,2
0,1,1,70.0,1,1,71.0,0.0,3,0,70.0,23.666666666666668,4
0,3,1,16.0,1,1,20.25,0.0,3,0,48.0,6.75,1
1,2,0,30.0,0,0,13.0,0.0,1,1,60.0,13.0,2
0,1,1,19.0,1,0,53.1,0.0,2,0,19.0,26.55,2
0,3,1,31.0,0,0,7.75,2.0,1,1,93.0,7.75,2
1,2,0,4.0,1,1,23.0,0.0,3,0,8.0,7.666666666666667,0
1,3,1,6.0,0,1,12.475,0.0,2,0,18.0,6.2375,0
0,3,1,33.0,0,0,9.5,0.0,1,1,99.0,9.5,2
0,3,1,23.0,0,0,7.8958,0.0,1,1,69.0,7.8958,2
1,2,0,48.0,1,2,65.0,0.0,4,0,96.0,16.25,3
1,2,1,0.67,1,1,14.5,0.0,3,0,1.34,4.833333333333333,0
0,3,1,28.0,0,0,7.7958,0.0,1,1,84.0,7.7958,2
0,2,1,18.0,0,0,11.5,0.0,1,1,36.0,11.5,1
0,3,1,34.0,0,0,8.05,0.0,1,1,102.0,8.05,2
1,1,0,33.0,0,0,86.5,0.0,1,1,33.0,86.5,2
0,3,1,28.0,0,0,14.5,0.0,1,1,84.0,14.5,2
0,3,1,41.0,0,0,7.125,0.0,1,1,123.0,7.125,3
1,3,1,20.0,0,0,7.2292,1.0,1,1,60.0,7.2292,2
1,1,0,36.0,1,2,120.0,0.0,4,0,36.0,30.0,3
0,3,1,16.0,0,0,7.775,0.0,1,1,48.0,7.775,1
1,1,0,51.0,1,0,77.9583,0.0,2,0,51.0,38.97915,3
0,1,1,28.0,0,0,39.6,1.0,1,1,28.0,39.6,2
0,3,0,30.5,0,0,7.75,2.0,1,1,91.5,7.75,2
0,3,1,28.0,1,0,24.15,2.0,2,0,84.0,12.075,2
0,3,1,32.0,0,0,8.3625,0.0,1,1,96.0,8.3625,2
0,3,1,24.0,0,0,9.5,0.0,1,1,72.0,9.5,2
0,3,1,48.0,0,0,7.8542,0.0,1,1,144.0,7.8542,3
0,2,0,57.0,0,0,10.5,0.0,1,1,114.0,10.5,3
0,3,1,28.0,0,0,7.225,1.0,1,1,84.0,7.225,2
1,2,0,54.0,1,3,23.0,0.0,5,0,108.0,4.6,3
0,3,1,18.0,0,0,7.75,0.0,1,1,54.0,7.75,1
0,3,1,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
1,3,0,5.0,0,0,12.475,0.0,1,1,15.0,12.475,0
0,3,1,28.0,0,0,7.7375,2.0,1,1,84.0,7.7375,2
1,1,0,43.0,0,1,211.3375,0.0,2,0,43.0,105.66875,3
1,3,0,13.0,0,0,7.2292,1.0,1,1,39.0,7.2292,1
1,1,0,17.0,1,0,57.0,0.0,2,0,17.0,28.5,1
0,1,1,29.0,0,0,30.0,0.0,1,1,29.0,30.0,2
0,3,1,28.0,1,2,23.45,0.0,4,0,84.0,5.8625,2
0,3,1,25.0,0,0,7.05,0.0,1,1,75.0,7.05,2
0,3,1,25.0,0,0,7.25,0.0,1,1,75.0,7.25,2
1,3,0,18.0,0,0,7.4958,0.0,1,1,54.0,7.4958,1
0,3,1,8.0,4,1,29.125,2.0,6,0,24.0,4.854166666666667,0
1,3,1,1.0,1,2,20.575,0.0,4,0,3.0,5.14375,0
0,1,1,46.0,0,0,79.2,1.0,1,1,46.0,79.2,3
0,3,1,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
0,2,1,16.0,0,0,26.0,0.0,1,1,32.0,26.0,1
0,3,0,28.0,8,2,69.55,0.0,11,0,84.0,6.322727272727272,2
0,1,1,28.0,0,0,30.6958,1.0,1,1,28.0,30.6958,2
0,3,1,25.0,0,0,7.8958,0.0,1,1,75.0,7.8958,2
0,2,1,39.0,0,0,13.0,0.0,1,1,78.0,13.0,3
1,1,0,49.0,0,0,25.9292,0.0,1,1,49.0,25.9292,3
1,3,0,31.0,0,0,8.6833,0.0,1,1,93.0,8.6833,2
0,3,1,30.0,0,0,7.2292,1.0,1,1,90.0,7.2292,2
0,3,0,30.0,1,1,24.15,0.0,3,0,90.0,8.049999999999999,2
0,2,1,34.0,0,0,13.0,0.0,1,1,68.0,13.0,2
1,2,0,31.0,1,1,26.25,0.0,3,0,62.0,8.75,2
1,1,1,11.0,1,2,120.0,0.0,4,0,11.0,30.0,0
1,3,1,0.42,0,1,8.5167,1.0,2,0,1.26,4.25835,0
1,3,1,27.0,0,0,6.975,0.0,1,1,81.0,6.975,2
0,3,1,31.0,0,0,7.775,0.0,1,1,93.0,7.775,2
0,1,1,39.0,0,0,0.0,0.0,1,1,39.0,0.0,3
0,3,0,18.0,0,0,7.775,0.0,1,1,54.0,7.775,1
0,2,1,39.0,0,0,13.0,0.0,1,1,78.0,13.0,3
1,1,0,33.0,1,0,53.1,0.0,2,0,33.0,26.55,2
0,3,1,26.0,0,0,7.8875,0.0,1,1,78.0,7.8875,2
0,3,1,39.0,0,0,24.15,0.0,1,1,117.0,24.15,3
0,2,1,35.0,0,0,10.5,0.0,1,1,70.0,10.5,2
0,3,0,6.0,4,2,31.275,0.0,7,0,18.0,4.4678571428571425,0
0,3,1,30.5,0,0,8.05,0.0,1,1,91.5,8.05,2
0,1,1,28.0,0,0,0.0,0.0,1,1,28.0,0.0,2
0,3,0,23.0,0,0,7.925,0.0,1,1,69.0,7.925,2
0,2,1,31.0,1,1,37.0042,1.0,3,0,62.0,12.334733333333332,2
0,3,1,43.0,0,0,6.45,0.0,1,1,129.0,6.45,3
0,3,1,10.0,3,2,27.9,0.0,6,0,30.0,4.6499999999999995,0
1,1,0,52.0,1,1,93.5,0.0,3,0,52.0,31.166666666666668,3
1,3,1,27.0,0,0,8.6625,0.0,1,1,81.0,8.6625,2
0,1,1,38.0,0,0,0.0,0.0,1,1,38.0,0.0,3
1,3,0,27.0,0,1,12.475,0.0,2,0,81.0,6.2375,2
0,3,1,2.0,4,1,39.6875,0.0,6,0,6.0,6.614583333333333,0
0,3,1,28.0,0,0,6.95,2.0,1,1,84.0,6.95,2
0,3,1,28.0,0,0,56.4958,0.0,1,1,84.0,56.4958,2
1,2,1,1.0,0,2,37.0042,1.0,3,0,2.0,12.334733333333332,0
1,3,1,28.0,0,0,7.75,2.0,1,1,84.0,7.75,2
1,1,0,62.0,0,0,80.0,,1,1,62.0,80.0,4
1,3,0,15.0,1,0,14.4542,1.0,2,0,45.0,7.2271,1
1,2,1,0.83,1,1,18.75,0.0,3,0,1.66,6.25,0
0,3,1,28.0,0,0,7.2292,1.0,1,1,84.0,7.2292,2
0,3,1,23.0,0,0,7.8542,0.0,1,1,69.0,7.8542,2
0,3,1,18.0,0,0,8.3,0.0,1,1,54.0,8.3,1
1,1,0,39.0,1,1,83.1583,1.0,3,0,39.0,27.71943333333333,3
0,3,1,21.0,0,0,8.6625,0.0,1,1,63.0,8.6625,2
0,3,1,28.0,0,0,8.05,0.0,1,1,84.0,8.05,2
1,3,1,32.0,0,0,56.4958,0.0,1,1,96.0,56.4958,2
1,1,1,28.0,0,0,29.7,1.0,1,1,28.0,29.7,2
0,3,1,20.0,0,0,7.925,0.0,1,1,60.0,7.925,2
0,2,1,16.0,0,0,10.5,0.0,1,1,32.0,10.5,1
1,1,0,30.0,0,0,31.0,1.0,1,1,30.0,31.0,2
0,3,1,34.5,0,0,6.4375,1.0,1,1,103.5,6.4375,2
0,3,1,17.0,0,0,8.6625,0.0,1,1,51.0,8.6625,1
0,3,1,42.0,0,0,7.55,0.0,1,1,126.0,7.55,3
0,3,1,28.0,8,2,69.55,0.0,11,0,84.0,6.322727272727272,2
0,3,1,35.0,0,0,7.8958,1.0,1,1,105.0,7.8958,2
0,2,1,28.0,0,1,33.0,0.0,2,0,56.0,16.5,2
1,1,0,28.0,1,0,89.1042,1.0,2,0,28.0,44.5521,2
0,3,1,4.0,4,2,31.275,0.0,7,0,12.0,4.4678571428571425,0
0,3,1,74.0,0,0,7.775,0.0,1,1,222.0,7.775,4
0,3,0,9.0,1,1,15.2458,1.0,3,0,27.0,5.081933333333333,0
1,1,0,16.0,0,1,39.4,0.0,2,0,16.0,19.7,1
0,2,0,44.0,1,0,26.0,0.0,2,0,88.0,13.0,3
1,3,0,18.0,0,1,9.35,0.0,2,0,54.0,4.675,1
1,1,0,45.0,1,1,164.8667,0.0,3,0,45.0,54.95556666666667,3
1,1,1,51.0,0,0,26.55,0.0,1,1,51.0,26.55,3
1,3,0,24.0,0,3,19.2583,1.0,4,0,72.0,4.814575,2
0,3,1,28.0,0,0,7.2292,1.0,1,1,84.0,7.2292,2
0,3,1,41.0,2,0,14.1083,0.0,3,0,123.0,4.702766666666666,3
0,2,1,21.0,1,0,11.5,0.0,2,0,42.0,5.75,2
1,1,0,48.0,0,0,25.9292,0.0,1,1,48.0,25.9292,3
0,3,0,28.0,8,2,69.55,0.0,11,0,84.0,6.322727272727272,2
0,2,1,24.0,0,0,13.0,0.0,1,1,48.0,13.0,2
1,2,0,42.0,0,0,13.0,0.0,1,1,84.0,13.0,3
1,2,0,27.0,1,0,13.8583,1.0,2,0,54.0,6.92915,2
0,1,1,31.0,0,0,50.4958,0.0,1,1,31.0,50.4958,2
0,3,1,28.0,0,0,9.5,0.0,1,1,84.0,9.5,2
1,3,1,4.0,1,1,11.1333,0.0,3,0,12.0,3.7111,0
0,3,1,26.0,0,0,7.8958,0.0,1,1,78.0,7.8958,2
1,1,0,47.0,1,1,52.5542,0.0,3,0,47.0,17.518066666666666,3
0,1,1,33.0,0,0,5.0,0.0,1,1,33.0,5.0,2
0,3,1,47.0,0,0,9.0,0.0,1,1,141.0,9.0,3
1,2,0,28.0,1,0,24.0,1.0,2,0,56.0,12.0,2
1,3,0,15.0,0,0,7.225,1.0,1,1,45.0,7.225,1
0,3,1,20.0,0,0,9.8458,0.0,1,1,60.0,9.8458,2
0,3,1,19.0,0,0,7.8958,0.0,1,1,57.0,7.8958,2
0,3,1,28.0,0,0,7.8958,0.0,1,1,84.0,7.8958,2
1,1,0,56.0,0,1,83.1583,1.0,2,0,56.0,41.57915,3
1,2,0,25.0,0,1,26.0,0.0,2,0,50.0,13.0,2
0,3,1,33.0,0,0,7.8958,0.0,1,1,99.0,7.8958,2
0,3,0,22.0,0,0,10.5167,0.0,1,1,66.0,10.5167,2
0,2,1,28.0,0,0,10.5,0.0,1,1,56.0,10.5,2
0,3,1,25.0,0,0,7.05,0.0,1,1,75.0,7.05,2
0,3,0,39.0,0,5,29.125,2.0,6,0,117.0,4.854166666666667,3
0,2,1,27.0,0,0,13.0,0.0,1,1,54.0,13.0,2
1,1,0,19.0,0,0,30.0,0.0,1,1,19.0,30.0,2
0,3,0,28.0,1,2,23.45,0.0,4,0,84.0,5.8625,2
1,1,1,26.0,0,0,30.0,1.0,1,1,26.0,30.0,2
0,3,1,32.0,0,0,7.75,2.0,1,1,96.0,7.75,2
